"","Provincia","Act","code","Prov","1 Trim 1996","2 Trim 1996","3 Trim 1996","4 Trim 1996","1 Trim 1997","2 Trim 1997","3 Trim 1997","4 Trim 1997","1 Trim 1998","2 Trim 1998","3 Trim 1998","4 Trim 1998","1 Trim 1999","2 Trim 1999","3 Trim 1999","4 Trim 1999","1 Trim 2000","2 Trim 2000","3 Trim 2000","4 Trim 2000","1 Trim 2001","2 Trim 2001","3 Trim 2001","4 Trim 2001","1 Trim 2002","2 Trim 2002","3 Trim 2002","4 Trim 2002","1 Trim 2003","2 Trim 2003","3 Trim 2003","4 Trim 2003","1 Trim 2004","2 Trim 2004","3 Trim 2004","4 Trim 2004","1 Trim 2005","2 Trim 2005","3 Trim 2005","4 Trim 2005","1 Trim 2006","2 Trim 2006","3 Trim 2006","4 Trim 2006","1 Trim 2007","2 Trim 2007","3 Trim 2007","4 Trim 2007","1 Trim 2008","2 Trim 2008","3 Trim 2008","4 Trim 2008","1 Trim 2009","2 Trim 2009","3 Trim 2009","4 Trim 2009","1 Trim 2010","2 Trim 2010","3 Trim 2010","4 Trim 2010","1 Trim 2011","2 Trim 2011","3 Trim 2011","4 Trim 2011","1 Trim 2012","2 Trim 2012","3 Trim 2012","4 Trim 2012","1 Trim 2013","2 Trim 2013","3 Trim 2013","4 Trim 2013","1 Trim 2014","2 Trim 2014","3 Trim 2014","4 Trim 2014","1 Trim 2015","2 Trim 2015","3 Trim 2015","4 Trim 2015","1 Trim 2016","2 Trim 2016","3 Trim 2016","4 Trim 2016","1 Trim 2017","2 Trim 2017","3 Trim 2017","4 Trim 2017","1 Trim 2018","2 Trim 2018"
"113","Neuquen","agro","AR-Q","Neuquen",3262.96959908177,3306.44952676655,3459.53259738423,3566.96806770414,3650.85882104369,3865.16392427877,3816.11663907736,3784.40561285825,3675.72101812218,5129.84211323427,5215.80578567614,4862.51314450698,4718.82243238455,4544.69400901728,4435.17919949333,4342.56551187605,3505.14804480992,3215.40508319457,3460.00305565723,3624.44404740831,3526.15898801437,3743.51850139373,3342.70516814646,3201.46961429253,3284.57574806111,3499.40097687526,3554.32882251594,3604.49664309603,3701.01102680421,3731.00491106155,3922.21183421896,4050.25084043286,4055.24859494236,4037.55142424222,4247.66890868178,4490.99228589093,4554.27870679475,4736.17557623123,4538.68960317433,4861.8963095821,4690.90702549452,4605.13937925141,4660.59106536532,4765.02738166809,4835.39950655274,4776.53860350016,4511.00637305942,4665.68450195192,4716.9708195996,4855.28866664155,4939.05924598427,5118.01598409122,5288.47667556563,4853.92774171339,4755.01865302322,4666.338910503,4758.87764998439,4932.11425239535,5025.65081576474,5230.48184989345,5379.05006602365,5574.50265049201,5709.08491582469,5547.92994765575,5472.79693090382,5695.96302521759,5520.90206392842,5529.87687805959,5552.2907783266,5415.35988209966,5330.48105616625,5172.49671085027,5263.14266107823,5163.92673645804,5294.35906856691,5384.52287915609,5299.69451283735,5214.64385136289,5125.06849768331,4997.71567848748,4899.55216724632,4960.91298906302,4962.04807052006,4984.02575698328,4929.3899625552,4949.46924708218,4840.90862744025,4771.54225559845,4777.53462099445,4705.80649732093
"114","Neuquen","com","AR-Q","Neuquen",6795,6647,6762,7160,7304,7241,7358,7646,8241,9743,9357,9511,9524,9018,8767,10184,9281,8584,8752,9386,10151,9859,9406,9130,8906,8480,8318,8377,9071,8843,9095,9619,10455,10306,10606,11122,12107,12104,12338,12744,13687,13586,13911,14117,15178,15022,15280,15834,16800,16525,16676,16966,17773,17010,16678,16841,17427,16928,17042,17250,17931,17611,17826,18039,18228,17722,17972,18052,18683,18389,18722,18964,19482,19399,19668,20065,21691,21729,21827,21921,22655,21936,22145,22238,22697,22068,22134,22486,23090,22629
"115","Neuquen","const","AR-Q","Neuquen",4769.3196686296,4675.12708889866,5671.11540689693,5486.8691197134,5144.16131517424,5101.70575943988,5297.51795713025,5601.60641213753,6144.62653511424,9198.04506330449,8009.86886879126,8020.87984250596,8395.4028340428,8109.82153807934,7307.70424636856,7516.30011403311,6234.8273071036,6248.37782720543,6796.75508986319,6534.43090832701,6488.13774427245,6623.52521590641,6222.01212485069,5153.73886213036,3557.66808605283,3336.98403393754,3834.12993268132,4650.30940411852,5197.35218960571,5378.36870209078,5524.6783313002,5772.42100639391,6257.99234143446,6837.17476349161,7250.58850025184,7632.81509782196,8173.66171314674,8460.27297874152,8692.62082526973,9092.99293157273,10128.0356963131,10686.9580317853,10566.0028952502,10800.6609608791,11322.5691045228,11888.4477625449,12082.8441360811,11659.3681432296,11139.0974625851,11136.7170669603,11125.6399745273,11016.0861026281,10673.5288036758,9492.35402819073,9549.20379012089,9097.04194243191,9019.08730920508,8998.05927385796,9151.22542763839,9378.07839029931,9394.64065453177,9542.76027196326,9639.57386125017,9383.05148482568,9022.86591408122,9053.07700127302,9097.25805650866,9252.28537058414,9570.11946341067,9624.34230433172,9820.12547006412,10292.4052744566,11204.0908777093,10933.2273259216,11424.9941502987,12108.1344093961,12501.9645636898,13188.4498333636,14049.160058764,14122.5091657524,12662.8403634403,12885.1248149743,12641.0438481755,12348.7432786688,12293.3419514432,12438.197818946,12883.3007490181,13869.37656811,15156.0104733928,15962.6171604091
"116","Neuquen","ind","AR-Q","Neuquen",4556.08342398959,4692.70671907052,4897.16059773623,4375.6829658397,4665.63949244204,4974.80896912065,5102.54152449782,5060.09148591035,5306.06274649217,7388.57794229311,7270.30403083923,7298.68099635821,7149.50543821843,6679.20593435159,6305.36818247728,6114.7721591765,4591.21115657966,4551.18215313876,4796.36267474168,4898.68600443323,4396.85813716252,4589.39324506983,4739.07809239496,4213.1819238194,3571.81068941598,3755.81926492366,3833.43010953819,4039.40757164775,4254.63780262937,4409.32482147186,4561.57175726324,4731.33858983569,5085.33191576448,5263.92403635687,5391.08756973501,5687.33645254652,5869.72442737993,6067.7260265049,6287.21595881947,6427.83904943298,6722.04974635763,7007.5588712004,7309.6598721211,7430.0264367561,7562.71656744384,7650.08388577006,7594.83272063386,7677.77993058434,7682.13914416703,7680.84082613224,7666.32718116919,7664.02123310117,7609.55948139102,7470.78114054634,7289.61547162459,7541.89525705544,7354.9103354623,7377.01648571864,7426.01344177874,7461.64719636614,7408.40968229136,7434.30178264938,7492.94086068418,7319.45056520928,7344.97509108472,7345.09412328995,7442.40146501184,7604.78700784148,7684.99491338265,7828.44691573758,7880.40320601176,7974.55619374768,8127.67513470127,8342.11193703716,8153.8439452983,8234.69840599479,8353.67208907457,8442.94507600782,8597.07922690587,8530.25214139854,8346.64893549905,8200.74894199904,7949.34299098995,7701.10125065342,7542.53547208783,7508.44055629737,7458.08357159324,7690.21213827192,7519.03259326347,7423.22004871921
"117","Neuquen","ot_bs","AR-Q","Neuquen",6050,6708,6051,6475,6558,6770,7015,6905,6928,6920,6614,6532,6649,6742,6653,6752,6483,6715,7124,7343,7755,7926,8362,8414,8126,7926,7708,7791,8212,8722,8977,9146,9655,10034,10182,10209,10452,11040,11533,11703,12181,12271,12287,13141,13684,13881,14161,14268,14519,14134,14818,14832,14727,14553,14074,13916,13801,14002,14375,14601,14386,14289,14463,14588,14949,15063,15316,15685,16323,16669,17370,18248,19130,19856,20751,21590,22663,22962,23176,23070,22788,22002,21637,21213,20344,19915,20336,20678,21275,21606
"118","Neuquen","ot_ss","AR-Q","Neuquen",17179,17020,17867,17312,17721,17888,19170,19971,20880,23189,23090,22217,22507,21092,21507,23485,21185,20657,21522,21633,22772,21897,21476,21321,20294,19388,19684,20004,21248,21893,22994,23664,24930,24418,26253,26683,28256,28477,30621,30820,32322,32210,33740,34603,35658,35501,37193,37914,38616,37780,39356,39224,39179,36610,36748,36458,37704,36563,37302,37405,38940,37897,38756,38989,39161,38916,39666,39894,41371,40595,42037,42482,43960,43072,43605,44463,46287,44937,45923,45898,46851,45723,46773,46988,47168,45560,47030,47559,48765,47829
"119","Neuquen","pesca","AR-Q","Neuquen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,19,25,0,0,0,0,0,0,0,0,25,23,35,33,37,38,41,50,51,49,56,53,53,46,39,44,49,68,77,65,50,48,43,37,0,0,0,0,15,14,17,20,19,17,17,16,17,19,17,20,21,22,19,21,19,18,16,16,18,14,15,14,15,14
"120","Neuquen","Total Nacional","AR-Q","Neuquen",50478.372691701,50142.2833347357,52658.8086020174,52276.5201532572,53086.65962866,53456.6786528393,55033.1761207054,56526.1035109061,58835.4102997286,69597.4651188319,68005.9786853066,67226.0739833711,67979.7307046458,65766.7214814482,64991.2516283392,69012.6377850857,63045.1865084932,62385.9650635388,65183.1208202621,66827.5609601685,68924.1548694493,69375.43696237,68147.7953853921,66195.3904002423,62703.0545235299,61267.2042757365,61244.8888647354,62337.2136188623,64685.0010190393,64598.6984346242,66012.4619227824,68173.0104366625,71461.5728521413,72137.6502240907,75354.3449786686,55616.1438362594,58985.6648473214,59868.1745814777,62512.5263872635,63979.7282905878,67586.9924681652,68133.6562822371,70228.2538327366,71765.7147793033,74607.6851785194,74887.0702518151,76717.6832297744,77803.8325757659,79007.2074263517,78023.8465597341,79802.0264016807,80032.1233198205,80572.5649606324,75505.0629104505,75096.8379147687,74669.2761099903,76313.8752946518,74846.190011972,75989.8896851819,76762.2074365589,79053.1004028468,78059.5647051047,79423.599637759,79278.4319976907,79244.6379360698,78746.1341497806,79715.5615854489,80352.9492564852,82880.4051551199,81869.149102169,83807.0097322421,84901.4581790545,88053.9086734888,86929.2659994168,88163.1971641639,90275.355694547,94154.3311656017,93534.0387607343,95540.3077833532,95490.4769856384,95434.0414661857,93723.7867460363,94486.4349096855,94275.8702863055,94648.2673860862,92538.1076223256,94361.2929480516,96390.1309619804,99322.5776876507,98563.6437064492
"121","Resto BsAs","agro","AR-B","Buenos Aires",51174.1679486563,51967.3013999071,54950.4449465739,55996.3125369853,56771.7023362767,56970.6230777947,57547.9334605933,58968.7737160911,59714.860135198,60232.9152207647,58614.4634959321,57909.2297402959,58465.3685955615,57988.924875366,57176.9355250712,59966.0856275334,55238.8608292541,55244.9574252607,55443.1331906908,55631.3351116187,55188.4407455464,54468.5980639356,54219.1127770128,51992.8883580437,50982.6392608687,51015.3129157593,51177.8285298414,51194.2684414049,51900.641206671,52974.4465783454,54240.6529190284,55544.1986496575,57049.0708726204,58419.3747217133,59906.6140878639,60902.7152033442,61497.769863918,63087.2448467101,64746.8234769354,65713.9873832764,68481.07520533,67432.9960674181,68405.9853542779,68976.9198501674,69358.0548558483,69857.9380142745,70292.8228229791,71924.2947324886,72781.2192199089,72985.3668044874,73183.1592301572,74019.4307411597,71769.1832833894,69924.5010487784,69991.9512129919,70496.6929324183,70259.7612791088,70858.2732499383,71184.1862599672,71165.4838347881,72931.1177321064,74253.7567692759,73969.5814227166,73938.4161752659,74133.4156909064,73490.0881979914,73415.5797946625,73361.9207700753,74485.0309490955,72687.6835565908,71617.023856429,71883.1227625878,71846.6632688598,71388.377668168,71193.7382499608,70964.7411295274,71133.2062349549,71081.500711238,70534.5376870087,68768.5573542438,68216.9402919999,68945.1679413382,69356.0171252087,69823.7795199559,69600.0538052768,69372.0991978134,69520.598112339,69648.5595803756,69708.2143861607,69552.6201248046
"122","Resto BsAs","com","AR-B","Buenos Aires",75671.0335801997,77667.3176789676,79721.6573873671,81314.9468791111,82856.2441882678,84162.8583584507,85597.1903346082,87180.870063078,89002.8402075188,91544.4532110682,91643.2842756045,93234.4806980231,92907.625972219,92025.099678482,90651.4654348304,96620.9135276,92414.4437198388,91439.7567512064,91743.7376857971,91448.5880644882,91540.8571199704,91070.3609013412,90165.4471547583,87576.1500776025,83154.4352084863,82815.7220502335,82697.5772460594,83071.3227799994,83333.9617734558,84932.5317998108,87489.2867479251,89629.7128011023,92018.7196699803,95005.0986701514,99670.2743390908,103800.956786828,106683.147616167,109652.56798323,112383.759957744,115263.294336409,118386.085961771,121070.847213003,124290.569154149,127875.670968815,131444.72619349,133777.750453337,135978.862506681,141385.336286576,143247.420967906,145826.904311167,147895.155062653,148493.667348595,148359.923664737,147490.730499236,147731.75921059,148968.875635983,150421.277315476,151799.07926673,153412.287741774,155082.35346431,156934.19424665,159095.687227965,160142.881513571,161668.605885594,162873.059330022,163598.970793816,164288.054504825,165299.288963569,166130.60603751,166014.60124182,166689.17679896,166931.140505206,166800.703028016,166994.242135669,167071.613969155,167578.89151218,168724.126696414,169943.329649717,170549.355972816,171055.295911186,172259.71556438,173172.484743037,174172.29258774,174161.283694347,174583.058434099,176030.961969588,176714.966715053,177581.424869185,177461.310493622,177146.902586401
"123","Resto BsAs","const","AR-B","Buenos Aires",23530,23245,26547,28477,31806,31081,33041,35429,35329,34727,35274,35387,37150,37001,37430,40214,34462,29961,29670,31236,30824,27109,24563,22127,17852,15318,15407,16726,19062,20934,22889,25705,26817,27891,30464,33061,34851,37199,38033,41045,44166,46760,49108,52425,51691,51463,52970,53926,53410,53752,54216,52874,50834,51392,50718,50173,48287,49526,51466,53932,54739,55505,56274,57155,56504,55350,54536,53502,54146,53353,53826,54948,54940,55732,58086,59960,60616,62344,62945,60655,55665,54378,55963,56517,57800,59909,61411,63789,62059,61936
